//spawnid	startpos	endpos	direction	monsterID	count	Rfprobability	RFTime	commotion	note	分区编号			
1	215000,252800	229000,267600	-1	185,75	17,17	100,100	10,10	40	0	#GARNER_GARNERCHASPN_TXT_000001#			
2	215000,252800	229000,260000	-1	71,184	22,22	100,100	10,10	40	0	#GARNER_GARNERCHASPN_TXT_000002#			
3	215000,260000	229000,267600	-1	71,103	26,26	100,100	10,10	40	0	#GARNER_GARNERCHASPN_TXT_000003#			
4	202700,252800	215000,267600	-1	75,71,103	8,8,12	100,100,100	10,10,10	40	0	#GARNER_GARNERCHASPN_TXT_000004#			
5	202700,252800	208700,260000	-1	119	35	100	10	40	0	#GARNER_GARNERCHASPN_TXT_000005#			
6	208700,260000	215000,267600	-1	75,185	17,17	100,100	10,10	40	0	#GARNER_GARNERCHASPN_TXT_000006#			
7	208700,252800	215000,260000	-1	119,184	10,10	100,100	10,10	40	0	#GARNER_GARNERCHASPN_TXT_000007#			
8	202700,260000	208700,267600	-1	125,103	10,10	100,100	10,10	40	0	#GARNER_GARNERCHASPN_TXT_000008#			
9	201900,267500	216200,278600	-1	75,185	17,17	100,100	10,10	40	0	#GARNER_GARNERCHASPN_TXT_000009#			
10	201900,272000	210000,278600	-1	206,103	28,28	100,100	10,10	40	0	#GARNER_GARNERCHASPN_TXT_000010#			
11	210000,267500	216200,278600	-1	71,103	26,26	100,100	10,10	40	0	#GARNER_GARNERCHASPN_TXT_000011#			
12	193200,261700	201400,277700	-1	103,104,125	8,8,14	100,100,100	10,10,10	40	0	#GARNER_GARNERCHASPN_TXT_000012#			
13	195200,265700	198400,273700	-1	125,126	35,8	100,100	10,15	40	0	#GARNER_GARNERCHASPN_TXT_000013#			
14	157500,251600	202200,261000	-1	119,237	11,11	100,100	10,10	40	0	#GARNER_GARNERCHASPN_TXT_000014#			
15	190000,251600	200000,261000	-1	237	38	100	10	40	0	#GARNER_GARNERCHASPN_TXT_000015#			
16	163000,254700	175500,261000	-1	189	52	100	20	40	0	#GARNER_GARNERCHASPN_TXT_000016#			
17	178700,246700	201700,251800	-1	103	12	100	10	40	0	#GARNER_GARNERCHASPN_TXT_000017#			
18	178700,246700	184700,247700	-1	214	17	100	15	40	0	#GARNER_GARNERCHASPN_TXT_000018#			
19	190000,242700	201700,251800	-1	237,119	21,17	100,100	10,10	40	0	#GARNER_GARNERCHASPN_TXT_000019#			
20	176700,249700	180000,251800	-1	227,274	8,1	100,100	300,300	40	0	#GARNER_GARNERCHASPN_TXT_000020#			
21	170700,247700	184000,255800	-1	227,31	5,18	100,100	15,15	40	0	#GARNER_GARNERCHASPN_TXT_000021#			
22	154400,260600	164500,277200	-1	237	12	100	10	40	0	#GARNER_GARNERCHASPN_TXT_000022#			
23	156400,262600	162500,275200	-1	252	59	100	20	40	0	#GARNER_GARNERCHASPN_TXT_000023#			
24	141000,260000	158700,277700	-1	224,76	11,9	100,100	20,25	40	0	#GARNER_GARNERCHASPN_TXT_000024#			
25	144000,264000	156700,275700	-1	298	25	100	25	40	0	#GARNER_GARNERCHASPN_TXT_000025#			
26	126100,260000	141000,277700	-1	189,224	11,11	100,100	15,20	40	0	#GARNER_GARNERCHASPN_TXT_000026#			
27	132000,264000	140000,272700	-1	225,299	20,21	100,100	30,30	40	0	#GARNER_GARNERCHASPN_TXT_000027#			
28	183000,278400	197100,296300	-1	75,185,125,104	5,5,8,8	100,100,100,100	10,10,10,10	40	0	#GARNER_GARNERCHASPN_TXT_000028#			
29	185000,280400	196100,290300	-1	258	56	100	10	40	0	#GARNER_GARNERCHASPN_TXT_000029#			
30	170400,278400	183000,296300	-1	75,185,71,258	4,4,5,6	100,100,100,100	10,10,10,10	40	0	#GARNER_GARNERCHASPN_TXT_000030#			
31	172400,280400	180000,291300	-1	126	38	100	15	40	0	#GARNER_GARNERCHASPN_TXT_000031#			
32	149700,278800	168100,294800	-1	103,184	12,12	100,100	10,10	40	0	#GARNER_GARNERCHASPN_TXT_000032#			
33	155700,282800	163100,290800	-1	189	42	100	20	40	0	#GARNER_GARNERCHASPN_TXT_000033#			
34	124700,277600	153200,294700	-1	189,139	11,11	100,100	20,20	40	0	#GARNER_GARNERCHASPN_TXT_000034#			
35	129700,284600	153200,294700	-1	85,295	31,45	100,100	25,20	40	0	#GARNER_GARNERCHASPN_TXT_000035#			
36	154500,295400	170800,308000	-1	258	14	100	10	40	0	#GARNER_GARNERCHASPN_TXT_000036#			
37	157000,298400	167800,305000	-1	94	66	100	20	40	0	#GARNER_GARNERCHASPN_TXT_000037#			
